LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
1 1.4 451 104.322 52.234 148723 179159 61812 51970 51936 52284 52288 52284 51937 88774 111404 188843 32120.342 23615.39 32265.605 456.8788421 0.004466322 312.7702605 h24v03 hxxvxx
2 24.5 75 0.06 6.303 29739 26383 24596 24400 24386 22530 20735 21026 21618 22418 22589 23561 6170.837 148 8502 86.65284535 0.003654108 55.58561913 h17v08 h18v08
3 30.1 181 32.886 23.967 31272 30901 31027 33161 31456 22010 19215 20156 23645 33186 31967 31611 5401.021 162 6500 183.2778495 0.004685832 152.8199415 h20v06 h21v06
4 35.1 487 28.76 -16.523 65957 49095 41928 36813 33519 32558 32101 37446 39458 37494 46295 68681 5210.584 180 5400 485.414708 0.011190747 424.9846742 h20v10 hxxvxx
5 35.1 382 101.785 56.284 12942 12942 12380 12380 12488 15101 25191 17420 12402 12396 12396 12942 4567.784 169.27 5470 403.8463383 0.006567589 367.9216265 h23v03 h24v03
6 11.9 388 83.348 49.656 21622 21446 20224 24516 35231 19177 20571 18918 32980 25291 22219 22224 4235.057 49.8 5490 395.7352607 0.004650166 370.2058494 h23v04 hxxvxx
7 36.9 270 -62.998 7.764 37471 36966 36055 34188 32416 31934 31165 29050 29678 33560 36309 37334 3652.843 135 4250 278.3805367 0.014403147 217.1671619 h11v08 hxxvxx
8 15.2 506 -69.78 54.851 31454 34351 31447 28789 30256 34351 33968 29356 28689 28689 28689 28689 3429.793 53.79 4275 541.0816911 0.012183224 488.9984085 h13v03 h14v03
9 22.4 165 -77.451 53.785 26415 30895 34514 20418 30400 29092 35428 30772 27000 22559 22132 23323 2745.105 61.7 2905 176.2352007 0.011099688 143.9906071 h13v03 hxxvxx
10 13 385 -40.824 -9.423 20947 18939 18683 15454 14772 14359 14356 14644 15406 16666 17933 19866 2447.567 34.1 3017.9 392.5 0.005709878 375.2681611 h13v10 h13v09
11 3.9 251 -99.29 53.16 35084 36771 38717 21923 22161 21923 25973 23908 34075 34036 31354 33205 2481.092 9.644 2668.465 256.2861094 0.002171236 250.4922426 h11v03 h12v03
12 25 187 -75.963 53.729 15579 17142 19943 35969 22079 41463 28023 18393 15901 14317 14170 14369 2315.686 60 2451 257.4784829 0.02538558 195.2584263 h13v03 hxxvxx
13 21.1 16 -49.647 -3.833 23485 22877 23565 20364 18516 18152 16457 16903 18811 16386 18210 18085 2199.146 45.5 2606 75.39740743 0.013216301 40.95572702 h13v09 hxxvxx
14 10.6 30 42.11 47.61 30071 14740 14351 16978 26966 13941 27873 34932 17795 13856 13914 17580 2291.017 23.86 2702 39.43712836 0.011768039 7.639886977 h20v04 hxxvxx
15 30.6 247 127.307 53.771 18435 18438 18463 20393 23656 19733 17071 26606 20699 18442 18438 18442 2212.319 68.4 2420 316.4055753 0.020648275 266.4367498 h25v03 hxxvxx
16 16.4 252 112.477 63.034 11705 11705 11705 12008 11300 11935 14031 11705 12008 14001 11705 12008 2139.468 35.9 2170 244.6217719 0.028516227 182.7415593 h22v02 h23v02
17 10.7 56 87.761 68.125 16123 15896 17794 22579 23890 13977 32173 16290 19537 20866 16757 16718 2140.786 23.5 2221.613 59.64383962 0.004447259 49.76375179 h21v02 hxxvxx
18 30.8 281 32.704 -15.586 39795 35093 24081 22211 21299 21165 20922 23405 27763 27990 30380 35039 2284.831 55.8 2739 329.183035 0.015416661 286.9568005 h20v10 h21v10
19 43.2 659 -122.198 56.019 8776 8657 8776 7584 9525 9659 9107 8069 7580 8644 8657 8656 1532.671 39.471 1773 674.7858127 0.052900382 580.9934354 h10v03 h11v03
20 25.6 44 43.46 33.69 23480 22997 19471 19272 23423 36139 27633 26381 39789 24359 20442 23601 1713.306 85.59 2135.535 65 0.039551023 -19.46261082 h21v05 hxxvxx
21 45 200 92.293 55.934 15125 15541 16619 14180 15202 8920 7295 11500 16360 16027 16122 15636 1715.372 73.3 2000 240.042722 0.038634782 162.773158 h23v03 hxxvxx
22 7.7 102 56.34 58.116 14274 14274 14274 10723 8788 8602 13359 9131 9043 10723 14274 14274 1602.46 12.2 1915 110.3235153 0.007438418 96.07894486 h20v03 h21v03
23 7.4 7 -81.101 26.941 30428 26985 30446 27722 27750 30472 30195 30626 25094 27338 28784 29570 1436.536 3.546 1536.798 3.903794 0.006168432 -5.574989612 h10v06 hxxvxx
24 9.8 10 118.727 33.09 22130 20836 21415 24481 24481 24548 22327 20889 21109 20836 21453 22568 1570.745 13.5 2074.607 17 0.007491465 1.458157254 h27v05 hxxvxx
25 19.5 30 43.893 32.697 18570 24612 22910 26082 31436 32481 26431 28131 34827 21966 23680 18570 1301.166 25.75 1621 34.69170456 0.014573217 11.0685198 h21v05 hxxvxx
26 6.5 390 -74.099 48.354 18964 16343 15789 12981 18090 16589 15353 15607 14194 14194 14881 17548 1259.101 8.573 1570 403.9802528 0.000684167 402.9061106 h12v04 h13v04
27 23.3 485 77.104 43.922 12414 12567 13646 12476 24944 12635 13147 12368 13656 12374 12367 12383 1228.315 28.1 1850 483.7052385 0.00897054 467.1097395 h23v04 hxxvxx
28 26.8 558 -101.432 47.506 15773 16457 17907 6391 16839 6391 6930 7669 16592 13914 13204 15492 1217.277 29.383 1477.398 565.0992 0.024672627 528.6479178 h11v04 hxxvxx
29 18.9 75 -56.626 -27.394 27648 27969 24675 24062 24267 28711 28164 25927 20135 23449 23418 24871 1152.584 21 1600 84.70761578 0.022416017 48.84198858 h12v11 h13v11
30 26.6 486 -100.398 44.456 4501 4567 5076 8306 15578 15679 8973 9982 7035 4467 4468 4486 1125.33 28.349 1429.573 493.776 0.02171865 462.7271473 h10v04 h11v04
31 19.7 323 -51.377 -20.373 9662 7180 6834 6822 6894 6822 6822 7012 7193 6850 7211 9742 1128.421 21.166 1200 329.7841806 0.032365634 290.9454198 h13v11 h13v10
32 12 24 47.758 52.054 20250 23154 22565 10938 7720 8345 14858 8275 11473 13538 22038 23002 1094.935 12.9 1117.698 28.36445313 0.025625757 -0.277411497 h20v03 hxxvxx
33 10.2 119 32.555 67.411 13435 13435 13435 13435 11254 13435 11022 12053 13435 13435 13435 13435 1044.24 10.8 1062.368 136.0738054 0.187261973 -62.86734921 h19v02 hxxvxx
34 14.5 110 4.613 9.866 12012 11622 31535 23313 23270 24492 23357 22215 23221 21545 16388 11696 1062.653 15 1071.225 136.8141116 0.039971361 93.99578865 h18v08 h18v07
35 8.6 103 83.001 54.843 9405 10189 12442 23206 16821 15969 21257 13405 10927 10290 10700 10004 1022.879 8.8 1070 113.9683782 0.014194572 98.7801862 h22v03 hxxvxx
36 12.7 62 47.463 56.14 4716 4716 4716 4716 16729 18600 4951 19396 5094 4716 4716 4716 1034.367 13.85 1080.384 65.73143875 0.024466809 39.29789275 h20v03 hxxvxx
37 3.1 16 31.281 58.456 18746 18746 18746 18746 20099 20099 20099 21849 18746 18746 18746 18746 1010.272 12 1120 19.27989602 0.008299809 9.98410994 h19v03 hxxvxx
38 3.7 378 32.485 15.239 17666 19586 21175 12250 17048 14714 16106 14949 17912 7204 20855 17001 776.118 3.5 861.193 380.3871615 0.006243478 375.0103222 h21v07 hxxvxx
39 9.1 197 -76.584 52.212 14872 14732 14733 11681 11357 12359 14732 14758 14891 16559 18713 16298 920.477 8.5 1040 216.1025699 0.021178177 194.0772658 h13v03 hxxvxx
40 24.7 763 -46.314 -20.669 7516 7959 8141 8243 8198 7883 8119 8239 8338 8350 8111 7496 925.538 22.59 1127.067 769.320276 0.043695425 720.0726232 h13v11 hxxvxx
41 59 422 -48.304 -13.837 8106 8225 8173 8297 8124 8420 8604 8693 8571 8087 8216 8922 931.179 54.4 1784 470.0692076 0.03355918 410.1996305 h13v10 hxxvxx
42 11.2 82 54.086 56.794 9445 9440 9447 10228 8592 12661 6835 7178 18570 11005 9463 9464 838.793 9.4 850.816 86.24542336 0.038915392 53.13560037 h20v03 h21v03
43 13 109 128.741 -16.118 16765 17729 15455 14694 14573 14373 14373 14458 15914 14088 16135 15720 983.48 10.763 981.211 93.9679224 0.028058959 66.43617204 h30v10 hxxvxx
44 1 334 -93.356 48.619 15462 14852 13410 10123 9349 9349 10582 9368 9525 11271 12708 14300 829.94 0.693 829.449 336.7329491 0.000779079 336.0867428 h11v04 hxxvxx
45 28.9 681 -106.415 48.001 14914 14914 14233 15378 12616 12014 6008 6010 10468 14914 13983 14914 838.009 22.774 969.863 685.7590747 0.043760837 643.3169091 h10v04 hxxvxx
46 26.3 566 -45.269 -18.215 9148 8617 8611 8656 8638 8619 8657 8649 8702 8658 8686 9309 796.687 21 1040 576.0594944 0.035526122 539.1123275 h13v10 hxxvxx
47 17.6 384 -69.77 49.355 9410 9410 9576 8587 9576 10157 9389 9316 8959 8959 9507 9661 728.222 13.9 978 409.1642707 0.049795746 360.4640311 h13v04 hxxvxx
48 9 248 67.96 41.243 17739 17736 23054 24885 29638 13717 12172 12172 13607 23561 19339 17745 770.685 5.7 800.658 252.54432 0.017860546 238.2441331 h23v04 hxxvxx
49 18.7 57 52.279 55.704 8228 8228 8228 8228 16854 16058 7850 9497 9098 8457 8228 8228 824.951 13.8 1084 65.33507348 0.013802425 50.37324478 h20v03 h21v03
50 12.2 62 -56.42 -32.83 13893 13620 13463 14090 16149 13212 15272 16361 12963 13453 13201 13404 744.174 8.8 1070 82.7696645 0.019403636 62.00777398 h13v12 hxxvxx
51 30.9 337 -68.758 -39.27 24376 22532 16042 13386 11590 11547 11547 11547 11912 13674 17235 19854 717.15 22 820 378.2006291 0.015185005 365.748925 h12v12 hxxvxx
52 70.1 530 38.323 37.485 10227 8793 7252 6189 8876 6388 6503 6470 6601 10597 11840 9688 703.627 48.7 817 541.2022506 0.106428188 454.250421 h21v05 hxxvxx
53 15.7 260 -38.312 -9.142 16750 17491 16931 17406 15540 14349 13908 14917 17228 19032 17473 16432 693.773 10.7 781.21 305.4 0.033366511 279.3337604 h14v09 hxxvxx
54 18.2 297 38.559 35.855 11553 19183 9344 9318 12513 11656 11237 11257 12555 11312 9305 10866 645.495 11.7 610 302.8744787 0.059423254 266.6262938 h21v05 hxxvxx
55 12.5 208 13.69 9.059 11314 11288 11203 11497 11262 11191 11347 11643 11481 11213 11195 11257 603.395 7.7 691.115 216 0.037395474 190.1554155 h19v08 hxxvxx
56 10.5 38 -93.567 31.175 7985 23493 21661 17060 21000 18410 11740 19871 8339 17146 22349 10585 613.17 5.522 636.179 52.4256 0.020387582 39.45545516 h09v05 h10v05
57 11.7 230 -75.885 52.191 7031 7889 10490 7930 17194 18966 11642 8067 7016 6495 6495 6495 81.784 6.94 602.9 286.821392 0.067847761 245.9159769 h13v03 hxxvxx
58 41.5 342 -68.908 49.706 6940 7761 9798 15656 9471 5843 5803 5803 5807 5803 5803 6509 567.026 24.5 640 361.5263766 0.19049416 239.6101142 h13v04 h13v03
59 19.7 68 31.743 68.607 9384 9384 9384 9384 6254 8385 6254 6387 9384 9384 9384 9384 598.731 11.52 745 79.61648185 0.001932373 78.17686396 h19v02 hxxvxx
60 21.5 340 -50.5 -19.017 7388 8946 8057 6940 6719 7019 6862 6734 6648 6809 10909 11172 585.881 12.5 703 405.9353213 0.052299497 369.1687749 h13v10 hxxvxx
61 63.2 372 -114.735 36.018 8611 9454 9146 8953 7945 7275 7024 6843 6687 8687 9020 8953 581.488 34.069 659.298 374.5992 0.136188186 288.7603821 h08v05 hxxvxx
62 0.1 4448 90.379 29.095 10674 11317 12331 11203 10072 8287 8135 8135 8136 8136 8876 10891 597.087 14.6 638 4443.489803 0.012750141 4435.355213 h25v06 hxxvxx
63 16.2 519 -92.779 16.401 5955 5847 8538 6030 5851 6079 6312 5859 9056 7053 5843 5913 565.014 18.2 640 530.6657038 0.080791904 478.9588852 h09v07 hxxvxx
64 16.3 234 78.896 16.088 8400 6723 5998 5825 8262 9567 9698 10660 11199 5998 9566 11650 279.937 8.288 534.054 269.75 0.030793897 253.3043967 h25v07 hxxvxx
65 10.3 22 -57.943 -31.271 6972 6969 7312 7410 6945 6750 6747 6797 7945 7331 7436 7180 548.396 5 592.828 35.07806506 0.0306808 16.88963075 h13v12 hxxvxx
66 14 361 75.554 24.7 16838 12193 9261 9642 10827 13155 16037 14715 12320 10463 12004 14750 224.897 6.827 619.895 399.9 0.033659767 379.0344854 h24v06 hxxvxx
67 14.5 379 -49.781 -21.298 6372 7794 9180 9604 9549 7575 8461 10086 9804 9956 8528 6909 511.26 7.41 513.392 384 0.080383625 342.7316689 h13v11 hxxvxx
